Date;Annee;Fournisseurs;Age_recep;Colo;Brix;Acidite;Taches;Note_recep;Com_rec;Hauteur;Diametre;Forme;Poids;Productivite;Rendement;delais_transf;Age_7j;Note_7j;Conf_7j;Colo_7j;Homo_7j;Carac_7j;Age_8j;Note_8j;Conf_8j;Colo_8j;Homo_8j;Carac_8j
08/06/2021;2021;MI;28;2;14,1;0,76;A;4;E;17;11;1,55;1444;120,2;47;6;40;12;C;2;OUI;lb;41;5;NC;2;OUI;lb
10/06/2021;2021;MI;31;2;12,4;0,61;A;4;E;18;11,5;1,57;1853;117,2;47;5;42;12;C;2;OUI;lb;43;7;NC;2;OUI;lb
10/06/2021;2021;MI;21;2;12,6;0,55;A;3;TD;17,5;11;1,59;1725;117,2;47;5;42;12;C;2;OUI;lb;43;7;NC;2;OUI;lb
17/06/2021;2021;MI;23;2;12,7;0,53;A;5;D;18,5;12;1,54;1933;132,3;45;5;34;12;C;2;OUI;lev;35;7;NC;2;OUI;lev
17/06/2021;2021;MI;23;2;13,1;0,63;A;5;D;19;12;1,58;1887;132,3;45;5;34;12;C;2;OUI;lev;35;7;NC;2;OUI;lev
17/06/2021;2021;MI;29;2;13,6;0,56;A;4;E;17;12;1,42;1916;134,7;52;4;39;7;NC;2;OUI;lb;40;5;NC;2;OUI;lb
17/06/2021;2021;MI;29;2;14,3;0,52;A;4;E;18;12;1,5;1824;134,7;52;4;39;7;NC;2;OUI;lb;40;5;NC;2;OUI;lb
24/06/2021;2021;MI;22;2;14,6;0,78;A;3;A;17;12;1,42;1752;116,2;56;4;34;12;C;2;NON;lb;35;5;NC;2;NON;lev
24/06/2021;2021;MI;22;2;13,9;0,9;P;3;A;18,5;12;1,54;1753;116,2;56;4;34;12;C;2;NON;lb;35;5;NC;2;NON;lev
25/06/2021;2021;MI;35;2,5;17,2;0,85;P;4;E;17;12;1,42;1659;165,8;42;4;44;14;C;2,5;OUI;bp;45;9;NC;2,5;OUI;lb
25/06/2021;2021;MI;35;2,5;15,8;0,79;A;5;E;18;11,5;1,57;1633;165,8;42;4;44;14;C;2,5;OUI;bp;45;9;NC;2,5;OUI;lb
01/07/2021;2021;MI;22;1,5;17,1;0,9;A;3;A;16,5;11,5;1,43;1639;138,72;49,04;11;39;12;C;2,5;OUI;bru;40;8;NC;2,5;OUI;lb
01/07/2021;2021;MI;22;1,5;16,8;1,07;A;3;TA;17;11,5;1,48;1532;138,72;49,04;11;39;12;C;2,5;OUI;bru;40;8;NC;2,5;OUI;lb
02/07/2021;2021;MI;23;2;14,3;0,74;A;3;A;17;12;1,42;1644;115,41;41,81;4;34;6;NC;2,5;OUI;lev;35;0;NC;2,5;OUI;lev
02/07/2021;2021;MI;23;2;14,3;0,74;A;3;A;17;12;1,42;1644;115,41;41,81;4;34;6;NC;2,5;OUI;lev;35;0;NC;2,5;OUI;lev
07/07/2021;2021;KE;27;3;19,6;0,38;A;4;TD;17;12,5;1,36;2055;188,15;65,18;6;36;5;NC;3;OUI;lb;37;0;NC;3;OUI;lb
07/07/2021;2021;KE;27;3;19,6;0,38;A;4;TD;17;12,5;1,36;2055;188,15;65,18;6;36;5;NC;3;OUI;lb;37;0;NC;3;OUI;lb
08/07/2021;2021;MI;23;3;13,5;0,69;A;4;E;17;12,5;1,36;1752;134,22;50,01;5;34;5;NC;2;OUI;fer;35;0;NC;2,5;OUI;lev
08/07/2021;2021;MI;23;2;14,3;0,54;A;4;D;16;11,5;1,39;1895;134,22;50,01;5;34;5;NC;2;OUI;fer;35;0;NC;2,5;OUI;lev
16/07/2021;2021;MI;22;2;15,6;0,83;A;4;E;18;12;1,5;1824;118,95;48,46;4;32;10;NC;2;NON;fer;33;6;NC;2;NON;lev
16/07/2021;2021;MI;22;2;15,8;0,7;A;5;E;18;11,5;1,57;1845;118,95;48,46;4;32;10;NC;2;NON;fer;33;6;NC;2;NON;lev
22/07/2021;2021;MI;22;3;15,3;0,81;A;4;E;20;12;1,67;1760;133,47;49,51;5;33;12;C;2;OUI;lb;34;6;NC;2;OUI;lb
22/07/2021;2021;MI;22;2;16,1;0,84;A;4;E;19;12;1,58;1762;133,47;49,51;5;33;12;C;2;OUI;lb;34;6;NC;2;OUI;lb
22/07/2021;2021;MI;23;2;13;0,68;A;3;A;17;11,5;1,48;1608;162,83;48,14;4;34;12;C;1,5;OUI;fer;35;6;NC;1,5;OUI;lev
22/07/2021;2021;MI;23;2;12,9;0,72;A;3;A;20;12;1,67;1797;162,83;48,14;4;34;12;C;1,5;OUI;fer;35;6;NC;1,5;OUI;lev
29/07/2021;2021;MI;24;2;15,5;0,68;A;5;D;17,5;12,5;1,4;1898;166,96;64,37;4;34;8;NC;2;NON;lb;35;5;NC;2;NON;lb
29/07/2021;2021;MI;24;2;16;0,59;A;5;TD;17;13;1,31;1879;166,96;64,37;4;34;8;NC;2;NON;lb;35;5;NC;2;NON;lb
29/07/2021;2021;MI;24;2;14,6;0,67;A;5;TD;17,5;11,5;1,52;1569;166,96;64,37;5;34;8;NC;2;OUI;lev;35;5;NC;2;OUI;lb
29/07/2021;2021;MI;24;2,5;15,3;0,63;A;5;D;16;12;1,33;1667;166,96;64,37;5;34;8;NC;2;OUI;lev;35;5;NC;2;OUI;lb
15/05/2020;2020;MI;25;1;14;;A;3;E;17;13;1,31;2114;73,8;0,42;3;35;12;C;1,5;NON;lev;36;;;;;
23/05/2020;2020;KE;26;1;15;;A;2;TA;17;12,5;1,36;2009;65;0,36;3;36;10;NC;2;OUI;lev;37;;;;;
06/06/2020;2020;KE;28;1;14;;A;3;E;17;12;1,42;1603;95,4;0,45;3;38;13;C;1,5;NON;lev;39;;;;;
24/07/2020;2020;MI;24;1;12;;A;3;A;18;12;1,5;1637;76;0,43;5;36;10;NC;2;OUI;lev;37;;;;;
24/07/2020;2020;MI;24;1;12;;A;3;A;20;12;1,67;1811;76;0,43;5;36;10;NC;2;OUI;lev;37;;;;;
18/05/2020;2020;KE;23;1,5;16,4;;A;4;E;18,2;12;1,52;2209;127,8;0,45;4;34;12;C;2;OUI;bru;35;;;;;
18/05/2020;2020;KE;25;1,5;15;;A;3;A;19;14;1,36;2527;149,9;0,52;4;36;13;C;2,5;OUI;bru;37;;;;;
06/06/2020;2020;KE;28;1,5;16;;A;4;E;18;13;1,38;1866;95,4;0,45;3;38;13;C;1,5;NON;lev;39;;;;;
13/06/2020;2020;MI;28;1,5;14,2;;A;4;D;20;11,5;1,74;1985;71,9;0,41;4;39;11;NC;2;OUI;lev;40;;;;;
10/07/2020;2020;KE;27;1,5;16;;A;3;A;18,5;13;1,42;2192;135,2;0,48;0;34;12;C;1,5;NON;lev;35;;;;;
11/08/2020;2020;KE;24;1,5;12;;A;3;A;18;11;1,64;2170;127,8;0,52;2;33;15;C;1;OUI;bp;34;;;;;
11/08/2020;2020;KE;24;1,5;12;;A;3;A;17;11;1,55;1876;127,8;0,52;2;33;15;TC;1;OUI;bp;34;;;;;
15/05/2020;2020;MI;22;2;14;;A;3;D;16;12;1,33;1853;92,4;0,44;5;34;12;C;1,5;NON;lev;35;;;;;
